date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,close_adj
2025-12-19,TAIEX,9145168124,568327509178,27685.74,27869.78,27672.05,27696.35,227.82,2974397,27696.35
2025-12-22,TAIEX,8984157012,504472490831,27986.66,28168.75,27986.66,28149.64,453.29,3141900,28149.64
2025-12-23,TAIEX,7965662925,431994260374,28253.14,28350.37,28212.84,28310.47,160.83,3146495,28310.47
2025-12-24,TAIEX,7899870510,439061668896,28383.61,28486.38,28280.59,28371.98,61.51,3162529,28371.98
2025-12-26,TAIEX,8084220373,443994479984,28443.48,28590.91,28404.34,28556.02,184.04,3225756,28556.02
2025-12-29,TAIEX,8569606301,469061962836,28662.79,28841.64,28595.35,28810.89,254.87,3414921,28810.89
2025-12-30,TAIEX,8876360103,469871782250,28723.82,28833.03,28553.64,28707.13,-103.76,3499456,28707.13
2025-12-31,TAIEX,9768832777,548425314258,28723.49,29009.81,28687.9,28963.6,256.47,3825873,28963.6
2026-01-02,TAIEX,10724729528,669781989470,29016.68,29363.43,29007.75,29349.81,386.21,4355720,29349.81
2026-01-05,TAIEX,12257092861,800793653955,29779.7,30339.32,29779.7,30105.04,755.23,4932097,30105.04
2026-01-06,TAIEX,12040596292,763236739665,29933.65,30576.3,29933.65,30576.3,471.26,4665223,30576.3
2026-01-07,TAIEX,14251362877,881736707216,30412.32,30570.26,30306.16,30435.47,-140.83,5538374,30435.47
2026-01-08,TAIEX,13237635957,759270755036,30330.58,30593.49,30268.36,30360.55,-74.92,5393393,30360.55
2026-01-09,TAIEX,11350115100,704371387415,30370.45,30500.42,29925.49,30288.96,-71.59,4635607,30288.96
2026-01-12,TAIEX,10706885024,626408176303,30472.7,30681.99,30472.7,30567.29,278.33,4266286,30567.29
2026-01-13,TAIEX,12095287473,749179436618,30630.86,30973.85,30529.33,30707.22,139.93,4914905,30707.22
2026-01-14,TAIEX,11337766253,681983353722,30742.53,30994.81,30742.53,30941.78,234.56,4681743,30941.78
2026-01-15,TAIEX,11502671786,671953720007,30746.98,30877.31,30663.87,30810.58,-131.2,4839771,30810.58
2026-01-16,TAIEX,12754630286,851452408675,30844.63,31475.22,30844.63,31408.7,598.12,5392485,31408.7
2026-01-19,TAIEX,13668186807,823428003269,31336.77,31827.39,31285.53,31639.29,230.59,5907091,31639.29
2026-01-20,TAIEX,13170800649,799639371793,31584.34,31759.99,31340.1,31759.99,120.7,5725587,31759.99
2026-01-21,TAIEX,14446040108,899309076186,31749.14,31749.14,31200.76,31246.37,-513.62,6525387,31246.37
2026-01-22,TAIEX,13104288592,814595841360,31371.13,31890.62,31371.13,31746.08,499.71,5428888,31746.08
2026-01-23,TAIEX,12103342453,818428930073,31788.77,32042.44,31693.15,31961.51,215.43,5258313,31961.51
2026-01-26,TAIEX,11574650763,747339306040,32002.56,32196.75,31989.86,32064.52,103.01,5008256,32064.52
2026-01-27,TAIEX,12767369519,817604546187,32095.08,32428.17,32095.08,32317.92,253.4,5390959,32317.92
2026-01-28,TAIEX,12947973323,853922428449,32381.76,32803.82,32381.76,32803.82,485.9,5477586,32803.82
2026-01-29,TAIEX,13552952931,959652045839,32828.02,32996.03,32472.45,32536.27,-267.55,5986744,32536.27
2026-01-30,TAIEX,13417799586,941320964545,32555.52,32555.52,32004.96,32063.75,-472.52,6267791,32063.75
2026-02-02,TAIEX,11735154321,771419543919,32008.46,32008.46,31359.95,31624.03,-439.72,5758292,31624.03
2026-02-03,TAIEX,11518844202,821574120123,31737.66,32293.83,31737.66,32195.36,571.33,4708431,32195.36
2026-02-04,TAIEX,10160254873,704644032693,32196.57,32380.0,31942.28,32289.81,94.45,4072781,32289.81
2026-02-05,TAIEX,11186277150,715168705076,32241.64,32241.64,31769.08,31801.27,-488.54,4940125,31801.27
2026-02-06,TAIEX,10552234186,700313173141,31746.44,31842.62,31164.28,31782.92,-18.35,4521784,31782.92
2026-02-09,TAIEX,9406563866,653957736705,31956.21,32666.05,31956.21,32404.62,621.7,3954439,32404.62
2026-02-10,TAIEX,8544963373,678490714672,32439.71,33072.97,32439.71,33072.97,668.35,3900357,33072.97
2026-02-11,TAIEX,9640426235,699292298413,33086.15,33707.83,33071.67,33605.71,532.74,4234328,33605.71
2026-02-23,TAIEX,13167078051,949992767170,33663.02,34212.38,33663.02,33773.26,167.55,5530950,33773.26
2026-02-24,TAIEX,13165035947,861808912768,34020.71,34786.42,33987.51,34700.82,927.56,5229964,34700.82
2026-02-25,TAIEX,15806158578,1020570870136,34753.31,35521.54,34753.31,35413.07,712.25,6229085,35413.07
2026-02-26,TAIEX,15667310561,1207836722507,35457.76,35579.34,35171.52,35414.49,1.42,6143155,35414.49
2026-03-02,TAIEX,14965963786,1014040137978,35277.48,35345.72,34605.36,35095.09,-319.4,6762693,35095.09
2026-03-03,TAIEX,16527604581,1113233319063,35106.22,35264.59,34323.65,34323.65,-771.44,8200698,34323.65
2026-03-04,TAIEX,17027132902,1099338575770,34228.75,34228.75,32828.88,32828.88,-1494.77,8552766,32828.88
2026-03-05,TAIEX,11784121914,793545602327,33620.74,34319.68,33472.91,33672.94,844.06,4641310,33672.94
2026-03-06,TAIEX,10206581156,655472934511,33483.94,33829.49,33322.52,33599.54,-73.4,4204269,33599.54
2026-03-09,TAIEX,14457276951,868304737884,32354.61,32354.61,31529.36,32110.42,-1489.12,7216495,32110.42
2026-03-10,TAIEX,11467681132,728225719000,32692.37,33256.69,32455.2,32771.87,661.45,4636839,32771.87
2026-03-11,TAIEX,10994809421,693435834178,33128.49,34218.66,33128.49,34114.19,1342.32,4225662,34114.19
2026-03-12,TAIEX,12188897294,784007384475,33816.15,34019.48,33458.64,33581.86,-532.33,5309095,33581.86
2026-03-13,TAIEX,11310370787,752682671944,33215.78,33639.18,33013.46,33400.32,-181.54,4964034,33400.32
2026-03-16,TAIEX,11002126725,755420348265,33541.25,33765.81,33278.06,33342.51,-57.81,4870475,33342.51
2026-03-17,TAIEX,11052069276,846176534881,33380.84,34008.7,33380.84,33836.57,494.06,4935819,33836.57
2026-03-18,TAIEX,11967644458,924101194833,33929.28,34423.66,33929.28,34348.58,512.01,5415344,34348.58
2026-03-19,TAIEX,11805573077,893918756213,34279.12,34279.12,33663.78,33689.68,-658.9,6193739,33689.68
2026-03-20,TAIEX,12643136708,1004234872968,33719.85,33989.18,33379.24,33543.88,-145.8,5495812,33543.88
2026-03-23,TAIEX,11584224639,712578117331,33334.0,33334.0,32461.09,32722.5,-821.38,6013649,32722.5
2026-03-24,TAIEX,9933946735,690091065536,33062.89,33361.46,32434.54,32612.24,-110.26,4453093,32612.24
